rtosTick,pitch,roll,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,m1CMD,m2CMD,m3CMD,m4CMD,asp,asr,asy,rsp,rsr,rsy
4150,-6.1183,10.18,266.01,-0.75362,3.6712,16.022,0.072293,-0.10915,-0.34231,-0.07801,-0.05539,-0.01508,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4152,-6.0899,10.138,267.45,-0.75712,3.6694,16.018,0.07265,-0.10901,-0.34236,-0.07801,-0.05539,-0.01508,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4154,-5.9918,10.144,268.81,-0.76046,3.6699,16.01,0.072557,-0.1091,-0.34232,-0.08062,-0.06351,-0.01305,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4156,-5.8861,10.148,270.16,-0.75407,3.6672,16.022,0.07209,-0.1093,-0.34232,-0.08062,-0.06351,-0.01305,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4158,-5.7726,10.152,271.48,-0.75268,3.6685,16.042,0.072046,-0.10958,-0.34229,-0.08062,-0.06351,-0.01305,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4160,-5.6526,10.157,272.79,-0.74704,3.6718,16.046,0.072099,-0.10952,-0.34232,-0.08062,-0.06351,-0.01305,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4162,-5.5257,10.162,274.07,-0.74623,3.6729,16.043,0.072025,-0.1096,-0.34238,-0.08062,-0.06351,-0.01305,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4164,-5.3929,10.169,275.32,-0.74393,3.674,16.043,0.07202,-0.10993,-0.34226,-0.08062,-0.06351,-0.01305,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4166,-5.2569,10.179,276.56,-0.73359,3.6766,16.029,0.071977,-0.11022,-0.34204,-0.08062,-0.06351,-0.01305,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4168,-5.1163,10.19,277.77,-0.73111,3.6775,16.035,0.072216,-0.11011,-0.34194,-0.08062,-0.06351,-0.01305,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4169,-5.0548,10.21,278.25,-0.73,3.6784,16.036,0.072406,-0.11006,-0.34188,-0.062785,-0.058435,-0.01682,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4170,-4.9933,10.23,278.72,-0.7289,3.6794,16.037,0.072597,-0.11001,-0.34181,-0.04495,-0.05336,-0.02059,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4172,-4.8623,10.269,279.65,-0.7338,3.6802,16.039,0.072719,-0.11,-0.34172,-0.04495,-0.05336,-0.02059,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4174,-4.7235,10.306,280.56,-0.74095,3.6754,16.022,0.072721,-0.10988,-0.34169,-0.04495,-0.05336,-0.02059,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4176,-4.5787,10.339,281.44,-0.74618,3.6689,16.032,0.073062,-0.10957,-0.34179,-0.04495,-0.05336,-0.02059,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4178,-4.4305,10.371,282.31,-0.74652,3.6672,16.041,0.07296,-0.10956,-0.34187,-0.04495,-0.05336,-0.02059,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4180,-4.28,10.4,283.16,-0.74593,3.6636,16.058,0.072478,-0.10958,-0.34194,-0.04495,-0.05336,-0.02059,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4182,-4.1263,10.429,283.98,-0.7505,3.6662,16.076,0.072226,-0.10967,-0.342,-0.04495,-0.05336,-0.02059,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4184,-3.9719,10.458,284.79,-0.74801,3.6664,16.066,0.072113,-0.10974,-0.34209,-0.04495,-0.05336,-0.02059,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4186,-3.7362,10.547,285.42,-0.7396,3.6661,16.068,0.071884,-0.10985,-0.34217,-0.03306,-0.04814,-0.0203,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4188,-3.5133,10.629,286.03,-0.73438,3.6671,16.059,0.071601,-0.11007,-0.34229,-0.03306,-0.04814,-0.0203,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4190,-3.302,10.705,286.63,-0.7303,3.6681,16.058,0.072091,-0.10992,-0.34233,-0.03306,-0.04814,-0.0203,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4192,-3.0993,10.777,287.22,-0.73266,3.6703,16.063,0.072637,-0.10975,-0.34229,-0.03306,-0.04814,-0.0203,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4194,-2.9053,10.844,287.79,-0.7335,3.6729,16.06,0.072884,-0.10973,-0.34233,-0.03306,-0.04814,-0.0203,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4196,-2.7189,10.907,288.35,-0.73518,3.6731,16.06,0.073081,-0.10945,-0.34227,-0.03306,-0.04814,-0.0203,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4198,-2.5408,10.968,288.89,-0.73464,3.6766,16.06,0.072847,-0.10957,-0.34218,-0.03306,-0.04814,-0.0203,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4200,-2.369,11.025,289.42,-0.73774,3.6784,16.049,0.072506,-0.10971,-0.34217,-0.03306,-0.04814,-0.0203,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4202,-1.1126,11.427,288.01,-0.74682,3.6776,16.046,0.072358,-0.10983,-0.34215,-0.00116,-0.07105,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4204,-0.033061,11.771,286.67,-0.74945,3.6779,16.044,0.072441,-0.10995,-0.34208,-0.00116,-0.07105,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4206,0.86125,12.059,285.41,-0.74733,3.6785,16.039,0.072544,-0.10993,-0.34215,-0.00116,-0.07105,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4208,1.5783,12.292,284.24,-0.74414,3.6738,16.024,0.072579,-0.10989,-0.3422,-0.00116,-0.07105,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4210,2.141,12.476,283.17,-0.74975,3.672,16.016,0.072222,-0.11001,-0.34228,-0.00116,-0.07105,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4212,2.568,12.62,282.19,-0.74807,3.6687,15.999,0.072058,-0.11014,-0.34234,-0.00116,-0.07105,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4214,2.8797,12.73,281.3,-0.74038,3.6638,15.988,0.072044,-0.11019,-0.34245,-0.00116,-0.07105,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4216,3.1007,12.812,280.49,-0.73587,3.66,15.993,0.072178,-0.10992,-0.34253,-0.00116,-0.07105,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4218,2.6053,12.698,281.01,-0.73874,3.6579,16.003,0.071992,-0.10977,-0.34259,-0.01566,-0.03944,-0.01885,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4220,2.1883,12.603,281.51,-0.74258,3.6553,16.006,0.072046,-0.10969,-0.34264,-0.01566,-0.03944,-0.01885,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4222,1.8389,12.527,281.98,-0.74177,3.6578,16.003,0.071715,-0.10968,-0.34273,-0.01566,-0.03944,-0.01885,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4224,1.5472,12.466,282.43,-0.73722,3.6565,15.997,0.071988,-0.10948,-0.34277,-0.01566,-0.03944,-0.01885,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4226,1.3082,12.419,282.85,-0.73952,3.6591,16.004,0.071873,-0.10965,-0.34268,-0.01566,-0.03944,-0.01885,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4228,1.1151,12.387,283.25,-0.74248,3.6707,16.007,0.071922,-0.10963,-0.34249,-0.01566,-0.03944,-0.01885,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4230,0.96092,12.366,283.64,-0.74457,3.6787,16.011,0.072051,-0.10958,-0.34242,-0.01566,-0.03944,-0.01885,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4232,0.83701,12.351,284,-0.74001,3.6796,16.026,0.072229,-0.10918,-0.34238,-0.01566,-0.03944,-0.01885,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4234,0.62463,12.166,285.25,-0.73881,3.6831,16.022,0.072035,-0.10919,-0.34234,-0.11948,-0.07163,-0.02436,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4236,0.43614,11.998,286.48,-0.74357,3.687,16.017,0.072051,-0.10928,-0.34227,-0.11948,-0.07163,-0.02436,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4238,0.26949,11.844,287.68,-0.74576,3.687,16.017,0.071801,-0.10942,-0.34221,-0.11948,-0.07163,-0.02436,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4240,0.12345,11.702,288.86,-0.74724,3.682,16.008,0.072029,-0.10929,-0.34226,-0.11948,-0.07163,-0.02436,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4242,-0.0020326,11.572,290.02,-0.75355,3.6788,15.997,0.072052,-0.1093,-0.34233,-0.11948,-0.07163,-0.02436,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4244,-0.10916,11.455,291.15,-0.75573,3.6757,15.98,0.072097,-0.10917,-0.34238,-0.11948,-0.07163,-0.02436,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4246,-0.19919,11.35,292.26,-0.75838,3.6727,15.977,0.072267,-0.10905,-0.34241,-0.11948,-0.07163,-0.02436,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4248,-0.27357,11.255,293.34,-0.75957,3.6702,15.965,0.072477,-0.10897,-0.34247,-0.11948,-0.07163,-0.02436,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4250,0.05008,11.478,293.19,-0.75724,3.6701,15.966,0.072897,-0.10873,-0.34247,-0.03016,-0.07482,-0.01392,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4252,0.33159,11.67,293.05,-0.75411,3.6649,15.976,0.073094,-0.10866,-0.34245,-0.03016,-0.07482,-0.01392,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4254,0.57555,11.836,292.93,-0.75034,3.6632,15.987,0.073051,-0.1087,-0.34252,-0.03016,-0.07482,-0.01392,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4256,0.78889,11.981,292.82,-0.7528,3.6655,16,0.073223,-0.10864,-0.34246,-0.03016,-0.07482,-0.01392,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4258,0.97474,12.11,292.72,-0.75362,3.6737,16.005,0.073059,-0.1087,-0.34235,-0.03016,-0.07482,-0.01392,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4260,1.1363,12.223,292.63,-0.75409,3.6784,16.011,0.072655,-0.10906,-0.34227,-0.03016,-0.07482,-0.01392,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4262,1.275,12.324,292.54,-0.75012,3.6832,16.012,0.072747,-0.10917,-0.34223,-0.03016,-0.07482,-0.01392,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4264,1.3938,12.414,292.47,-0.74547,3.6861,16.003,0.072866,-0.10917,-0.34234,-0.03016,-0.07482,-0.01392,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4266,1.0886,11.896,294.11,-0.74629,3.6903,16,0.072887,-0.10941,-0.34232,-0.05539,-0.00377,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4268,0.81425,11.418,295.73,-0.74518,3.6936,15.98,0.072922,-0.10962,-0.34221,-0.05539,-0.00377,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4270,0.56995,10.977,297.34,-0.747,3.6968,15.982,0.072794,-0.10989,-0.34203,-0.05539,-0.00377,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4272,0.35373,10.57,298.93,-0.74639,3.6938,15.987,0.072374,-0.11039,-0.34196,-0.05539,-0.00377,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4274,0.16361,10.196,300.49,-0.7431,3.693,16.002,0.072383,-0.11054,-0.34198,-0.05539,-0.00377,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
