rtosTick,pitch,roll,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,m1CMD,m2CMD,m3CMD,m4CMD,asp,asr,asy,rsp,rsr,rsy
3751,1.0841364338994026,2.255226418375969,250.1241683959961,-0.00408467766828835,-0.020989621058106422,9.249735355377197,-0.06033223308622837,-0.1577561609447002,-0.05359303392469883,-0.10309499502181992,-0.05915999785065637,0.17602999508380904,995,860,1015,850,0,0,0,0,0,0
3756,0.04861868917942047,-0.08690109848976135,330.2706298828125,-0.004764735698699951,-0.02331613190472126,9.80276107788086,-0.12089890241622925,-0.22366255521774286,-0.08420547842979431,-0.20618999004364014,-0.11831999570131302,0.3520599901676178,995,860,1015,850,0,0,0,0,0,0
3758,0.041532963514327996,-0.09990804642438887,330.269287109375,-0.004963165149092674,-0.023329934105277058,9.802781105041504,-0.11392674595117568,-0.22463318705558774,-0.08243124932050705,-0.20618999004364014,-0.11831999570131302,0.3520599901676178,995,860,1015,850,0,0,0,0,0,0
3759,0.039317287504673004,-0.10437808930873871,330.26904296875,-0.005092626437544823,-0.023363662883639336,9.80279016494751,-0.11198902875185013,-0.22631619125604627,-0.0815628282725811,-0.20618999004364014,-0.11831999570131302,0.3520599901676178,1194,1032,1218,1008,0,0,0,0,0,0
3760,0.037101611495018005,-0.10884813219308853,330.268798828125,-0.005222087725996971,-0.02339739166200161,9.802799224853516,-0.11005131155252457,-0.2279991954565048,-0.08069440722465515,-0.20618999004364014,-0.11831999570131302,0.3520599901676178,1194,1032,1218,1008,0,0,0,8,0,0
3762,0.03437913209199905,-0.11499030143022534,330.2688903808594,-0.005407920107245445,-0.023409364745020863,9.802816390991213,-0.11363217234611513,-0.2301012277603149,-0.07456937432289124,-0.20618999004364014,-0.11831999570131302,0.3520599901676178,1194,1032,1218,1008,0,0,0,8,0,0
3764,0.032906509935855865,-0.11924556642770767,330.2693176269531,-0.005654584150761366,-0.023421067744493484,9.802899360656738,-0.11566269397735594,-0.22975490987300876,-0.07299818098545073,-0.20618999004364014,-0.11831999570131302,0.3520599901676178,1194,1032,1218,1008,0,0,0,8,0,0
3766,0.03227721154689789,-0.1220785230398178,330.26995849609375,-0.005894444417208433,-0.023324577137827877,9.802911758422852,-0.11617550253868104,-0.22941456735134125,-0.07293500751256943,-0.20618999004364014,-0.11831999570131302,0.3520599901676178,1194,1032,1218,1008,0,0,0,8,0,0
3767,0.03215147368609905,-0.123125109821558,330.2703399658203,-0.005945120705291629,-0.02335836924612522,9.80295181274414,-0.11568904295563698,-0.22985034435987473,-0.07511647045612335,-0.20618999004364014,-0.11831999570131302,0.3520599901676178,1235,1066,1258,1042,0,0,0,8,0,0
3768,0.03202573582530022,-0.1241716966032982,330.2707214355469,-0.005995796993374825,-0.02339216135442257,9.80299186706543,-0.11520258337259293,-0.2302861213684082,-0.07729793339967728,-0.20618999004364014,-0.11831999570131302,0.3520599901676178,1235,1066,1258,1042,0,0,0,8,0,0
